date,jour,heure,fin,terrain,duree,prix,statut,vu_dispo,premier_vu,dernier_vu,releve
2026-06-01,Lundi,15:30,17:30,Terrain f6d07bcf,120,88.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,15:30,17:00,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,16:00,17:30,Terrain 1a78f473,90,68.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,16:00,17:30,Terrain f6d07bcf,90,68.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,16:00,18:00,Terrain f98a1fd8,120,96.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:00,19:00,Terrain 1a78f473,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:00,18:30,Terrain 5b7001f3,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:00,19:00,Terrain 5b7001f3,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:00,19:00,Terrain c258125b,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:00,19:00,Terrain f6d07bcf,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:00,18:30,Terrain f98a1fd8,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:30,19:00,Terrain 1a78f473,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:30,19:00,Terrain c258125b,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,17:30,19:00,Terrain f6d07bcf,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,18:00,20:00,Terrain f98a1fd8,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,18:30,20:30,Terrain 5b7001f3,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,18:30,20:00,Terrain f98a1fd8,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,19:00,20:30,Terrain 5b7001f3,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,22:00,00:00,Terrain 5b7001f3,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,22:00,00:00,Terrain c258125b,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,22:00,00:00,Terrain f6d07bcf,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,22:00,00:00,Terrain f98a1fd8,120,112.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,22:30,00:00,Terrain 1a78f473,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,10:30,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,11:00,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,10:30,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,11:00,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,10:30,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,11:00,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,10:30,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,11:00,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,10:30,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,09:00,11:00,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:00,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:30,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:00,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:30,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:00,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:30,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:00,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:30,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:00,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,10:30,12:30,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,12:30,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,13:00,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,12:30,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,13:00,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,12:30,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,13:00,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,12:30,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,13:00,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,12:30,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,11:00,13:00,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,13:30,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,14:00,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,13:30,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,14:00,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,13:30,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,14:00,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,13:30,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,14:00,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,13:30,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:00,14:00,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:00,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:30,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:00,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:30,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:00,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:30,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:00,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:30,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:00,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,12:30,14:30,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,14:30,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,15:00,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,14:30,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,15:00,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,14:30,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,15:00,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,14:30,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,15:00,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,14:30,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:00,15:00,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:00,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:30,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:00,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:30,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:00,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:30,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:00,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:30,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:00,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,13:30,15:30,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,15:30,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,16:00,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,15:30,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,16:00,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,15:30,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,16:00,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,15:30,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,16:00,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,15:30,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:00,16:00,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:30,16:00,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:30,16:00,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:30,16:30,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:30,16:00,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
